benchmark,n_queries,arm/method,metric,value,source_file,status,notes
LME,470,sign96,nDCG@10,0.5914,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
LME,470,sign96,expected-Hit@10,0.8608,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
LME,470,float_raw,Hit@10,0.8255,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
LME,470,float_raw,Recall@10,0.6895,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
LME,470,float_raw,nDCG@10,0.5095,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
LME,470,float_raw,expected-Hit@10,0.8255,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
LME,470,float_std,Hit@10,0.883,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
LME,470,float_std,Recall@10,0.7955,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
LME,470,float_std,nDCG@10,0.6207,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
LME,470,float_std,expected-Hit@10,0.883,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
LME,470,asym,Hit@10,0.8574,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
LME,470,asym,Recall@10,0.7338,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
LME,470,asym,nDCG@10,0.5559,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
LME,470,asym,expected-Hit@10,0.8574,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
LME,470,sign96/float_raw,FR@3-replay-max-dev,0.0,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,historical SIGN/FLOAT FR@3 replay gate: max |fr3-ctrl| = 0.0 (tol 1e-12) -> PASS
REALTALK,705,sign96,Hit@10,0.4652,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
REALTALK,705,sign96,Recall@10,0.3434,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
REALTALK,705,sign96,nDCG@10,0.2455,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
REALTALK,705,sign96,expected-Hit@10,0.4668,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
REALTALK,705,float_raw,Hit@10,0.366,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
REALTALK,705,float_raw,Recall@10,0.2783,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
REALTALK,705,float_raw,nDCG@10,0.202,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
REALTALK,705,float_raw,expected-Hit@10,0.366,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
REALTALK,705,float_std,Hit@10,0.4851,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
REALTALK,705,float_std,Recall@10,0.3747,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
REALTALK,705,float_std,nDCG@10,0.2622,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
REALTALK,705,float_std,expected-Hit@10,0.4851,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
REALTALK,705,asym,Hit@10,0.4355,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
REALTALK,705,asym,Recall@10,0.3306,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
REALTALK,705,asym,nDCG@10,0.2277,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
REALTALK,705,asym,expected-Hit@10,0.4355,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
REALTALK,705,sign96/float_raw,FR@3-replay-max-dev,0.0,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,historical SIGN/FLOAT FR@3 replay gate: max |fr3-ctrl| = 0.0 (tol 1e-12) -> PASS
PerLTQA,8265,sign96,tie-at-cut-fraction,0.7032,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived; asym~0.0005/0/0.0043 floats~0 (see ledger)
LME,470,sign96,tie-at-cut-fraction,0.6255,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived; asym~0.0005/0/0.0043 floats~0 (see ledger)
REALTALK,705,sign96,tie-at-cut-fraction,0.6979,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived; asym~0.0005/0/0.0043 floats~0 (see ledger)
REALTALK,705,bm25,hit_at_10,0.5418,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,re-derived from corrected per-query file; matches data/REPORT.md
REALTALK,705,bm25,recall_at_10,0.4316,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,re-derived; matches data/REPORT.md
REALTALK,705,bm25,ndcg_at_10,0.3428,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,re-derived; matches data/REPORT.md
REALTALK,705,bm25,expected_hit_at_10_corrected,0.5418,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,"corrected expected-Hit mean == hit mean; producer column expected_hit_at_10 == recall mean (mislabeled, per audit)"
REALTALK,705,tfidf,hit_at_10,0.5291,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,re-derived from corrected per-query file; matches data/REPORT.md
REALTALK,705,tfidf,recall_at_10,0.4191,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,re-derived; matches data/REPORT.md
REALTALK,705,tfidf,ndcg_at_10,0.3166,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,re-derived; matches data/REPORT.md
REALTALK,705,tfidf,expected_hit_at_10_corrected,0.5291,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,"corrected expected-Hit mean == hit mean; producer column expected_hit_at_10 == recall mean (mislabeled, per audit)"
REALTALK-RT01,85,bm25,hit_at_10,0.5176,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT01,85,bm25,recall_at_10,0.4701,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT01,85,bm25,ndcg_at_10,0.363,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT02,70,bm25,hit_at_10,0.5429,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT02,70,bm25,recall_at_10,0.4029,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT02,70,bm25,ndcg_at_10,0.2957,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT03,73,bm25,hit_at_10,0.6849,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT03,73,bm25,recall_at_10,0.5861,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT03,73,bm25,ndcg_at_10,0.467,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT04,71,bm25,hit_at_10,0.5775,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT04,71,bm25,recall_at_10,0.4359,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT04,71,bm25,ndcg_at_10,0.3591,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT05,70,bm25,hit_at_10,0.6429,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT05,70,bm25,recall_at_10,0.4898,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT05,70,bm25,ndcg_at_10,0.4058,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT06,74,bm25,hit_at_10,0.4324,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT06,74,bm25,recall_at_10,0.3293,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT06,74,bm25,ndcg_at_10,0.2531,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT07,70,bm25,hit_at_10,0.6857,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT07,70,bm25,recall_at_10,0.5369,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT07,70,bm25,ndcg_at_10,0.4302,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT08,70,bm25,hit_at_10,0.2714,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT08,70,bm25,recall_at_10,0.2274,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT08,70,bm25,ndcg_at_10,0.1539,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT09,63,bm25,hit_at_10,0.6032,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT09,63,bm25,recall_at_10,0.4176,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT09,63,bm25,ndcg_at_10,0.3474,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT10,59,bm25,hit_at_10,0.4576,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT10,59,bm25,recall_at_10,0.4054,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT10,59,bm25,ndcg_at_10,0.3493,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_bm25_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT01,85,tfidf,hit_at_10,0.5529,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT01,85,tfidf,recall_at_10,0.498,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT01,85,tfidf,ndcg_at_10,0.3717,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT02,70,tfidf,hit_at_10,0.4857,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT02,70,tfidf,recall_at_10,0.3505,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT02,70,tfidf,ndcg_at_10,0.2408,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT03,73,tfidf,hit_at_10,0.6438,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT03,73,tfidf,recall_at_10,0.5402,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT03,73,tfidf,ndcg_at_10,0.4171,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT04,71,tfidf,hit_at_10,0.5493,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT04,71,tfidf,recall_at_10,0.4331,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT04,71,tfidf,ndcg_at_10,0.3038,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT05,70,tfidf,hit_at_10,0.5714,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT05,70,tfidf,recall_at_10,0.4665,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT05,70,tfidf,ndcg_at_10,0.366,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT06,74,tfidf,hit_at_10,0.4865,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT06,74,tfidf,recall_at_10,0.35,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT06,74,tfidf,ndcg_at_10,0.2298,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT07,70,tfidf,hit_at_10,0.6571,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT07,70,tfidf,recall_at_10,0.5107,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT07,70,tfidf,ndcg_at_10,0.4136,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT08,70,tfidf,hit_at_10,0.2571,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT08,70,tfidf,recall_at_10,0.191,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT08,70,tfidf,ndcg_at_10,0.1117,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT09,63,tfidf,hit_at_10,0.6032,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT09,63,tfidf,recall_at_10,0.4174,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT09,63,tfidf,ndcg_at_10,0.3634,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT10,59,tfidf,hit_at_10,0.4746,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation; matches data/REPORT.md
REALTALK-RT10,59,tfidf,recall_at_10,0.4138,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK-RT10,59,tfidf,ndcg_at_10,0.3471,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/audit/per_query_tfidf_corrected.jsonl,VERIFIED,per-archive re-derivation
REALTALK,705,PQ12B_FAISS_M12_NBITS8,Hit@10,0.3305,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,re-derived; matches pq/SUMMARY.json 0.33049645
REALTALK,705,PQ12B_FAISS_M12_NBITS8,Recall@10,0.2439,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,re-derived; matches 0.24394912
REALTALK,705,PQ12B_FAISS_M12_NBITS8,nDCG@10,0.1734,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,re-derived; matches 0.17343215
REALTALK,705,PQ12B_FAISS_M12_NBITS8,expected_hit10_uniform,0.3305,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,re-derived; 4/705 cutoff ties
REALTALK-RT01,85,PQ12B_FAISS_M12_NBITS8,Hit@10,0.4235,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,per-archive re-derivation; matches pq/SUMMARY.json
REALTALK-RT02,70,PQ12B_FAISS_M12_NBITS8,Hit@10,0.3429,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,per-archive re-derivation; matches pq/SUMMARY.json
REALTALK-RT03,73,PQ12B_FAISS_M12_NBITS8,Hit@10,0.6027,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,per-archive re-derivation; matches pq/SUMMARY.json
